,Buy and Hold Sharpe,Buy and Hold Total Return,Number of Trades,Strategy Sharpe,Strategy Total Return,Symbols
0,-0.001792549598847788,-0.010763064155795532,24.0,0.5228971616399604,0.425964816100388,COTY
1,0.008286204491925084,0.02195063396674546,21.0,1.647611737705313,0.3323934599964933,CMS
2,0.08207286862290253,0.5429843794610211,4.0,0.6433956285090039,0.2966367275664994,CNC
3,-0.02282327492032016,-0.04282901081955248,7.0,0.502372954807659,0.056752496485213764,CSRA
4,0.08418312844061016,0.28365464021256204,13.0,0.8303184256272875,0.22275922687410776,CSCO
5,0.07078492988250594,0.26688041350454506,6.0,0.9648608063075701,0.11925993546548078,COST
7,-0.04195437478825641,-0.271496110978274,9.0,0.986237367908879,0.17074781050352422,CMG
9,0.06488216800491273,0.2745885765961791,7.0,1.2953854868067773,0.12054308098576975,COO
10,-0.033456576305946804,-0.15104962408195954,9.0,1.0501136532767839,0.14189478284000567,CPB
11,0.0454687509325993,0.1210864509201699,2.0,7.756481591097798,0.023094840452118744,CNP
12,0.10991879980730852,0.3861731273026965,26.0,0.6195728471700687,0.22064507086460217,CRM
13,0.06914904282921575,0.30089447229412625,13.0,1.203598063699622,0.17211843573460053,COF
14,0.04860227809566352,0.29344474175211865,6.0,1.5658939948708614,0.09467376420740109,COP
16,-0.006308512803422154,-0.03895405653448547,13.0,-0.016304996502339752,-0.007818711449535866,DISCA
17,-0.03677937709329578,-0.24289223767393853,18.0,1.1744559337679759,0.5243917067305749,CTL
18,0.07995581997071653,0.373504207377354,12.0,1.8635011889344586,0.3424584006031634,DG
19,-0.009489611337723887,-0.05842067602286993,3.0,1.5291041671816752,0.2561270477709594,DISCK
22,0.0380385277344256,0.1195659628125394,16.0,1.3469181505567827,0.16000674490368597,DIS
23,-0.03426168679112087,-0.17775816500219022,18.0,0.8624446777626935,0.31773341541776184,DISH
25,0.07860580743247259,0.30747044325822825,6.0,2.0607018795894683,0.09291863350585533,DFS
26,0.06239782093639753,0.17562998339290226,2.0,3.7394436285189885,0.02756781574440237,DHR
27,0.06745961087225051,0.21477284549309794,2.0,1.3006730662198296,0.07550112997599588,DGX
29,0.014019522102194697,0.08013793797561419,7.0,1.0540051550360572,0.13052489995676902,CTXS
30,0.02861706296402642,0.09292403533714944,14.0,1.1010385650390753,0.14788233235619508,CVX
31,0.0974322398720406,0.35614233403267515,25.0,1.3056291663270794,0.4755687293758607,CTSH
32,0.11363770822335807,0.4841624938461364,2.0,11.361338262201087,0.038302704574302966,DHI
34,0.030869500840851955,0.17003894717877144,9.0,1.7232290582370757,0.2934674378610176,CXO
35,0.12198067947523514,0.4204176291203928,21.0,1.0032983171903391,0.33697367484145185,CTAS
36,0.09288214737262596,0.4400100413956054,3.0,2.0869162674116533,0.040264375128233325,EBAY
37,-0.02010041263501407,-0.05125008616840965,3.0,0.5879907771949282,0.04072978618139493,DUK
38,-0.009054118010165051,-0.0599357014417482,19.0,1.598239635348498,0.7856446156322495,DVN
39,0.08056902203679933,0.3738606305469554,11.0,1.1092824186400514,0.19474595826289864,DLTR
40,0.008672654565262953,0.029091257357770628,13.0,1.8055469023318937,0.23807818386607563,DRE
41,0.05431294544218535,0.306198017828466,17.0,0.7534240561210436,0.4405275044163967,DVA
42,0.09090297836494407,0.4571412851379958,3.0,-0.9069120615993415,-0.014945092994060081,EA
43,0.10878366423513433,0.42893261683045114,5.0,1.481312242310868,0.10498608406230812,DOV
45,-0.038887390560263135,-0.15516202887406916,16.0,0.9352819282427824,0.14345375380932548,EIX
46,0.0026295841881902606,0.0192047712753195,8.0,1.2201695574044522,0.17271620444135416,EFX
47,0.0005705038512361347,0.0017248947935458725,28.0,1.2098995342922367,0.31275387719333575,D
49,-0.028550111290267684,-0.01591857395924079,3.0,0.7600668042431141,0.024683298635665242,DXC
50,0.0677967252658673,0.332028915233462,13.0,0.6233597095580724,0.39386477837567535,DPS
52,0.03221771856348216,0.14067805197175143,13.0,1.1455885916593067,0.185239989855647,DLR
53,0.007884315458057001,0.02143114940883073,1.0,0.003854664858305521,0.003854664858305521,ED
54,0.14845010282439883,0.5347905801075694,2.0,2.3774472733384076,0.017176072660542326,EL
55,0.019926491041342538,0.05166581011813831,12.0,1.0172006035556491,0.26398818200386487,DTE
56,0.0787671903701917,0.38994520864812565,12.0,0.7670509504782285,0.2041576841971282,EW
58,0.0805132626799017,0.2885640884805698,4.0,5.970309316522137,0.058769989109833734,ETN
60,0.0650208259637537,0.3063555384604236,5.0,-0.46776620408638914,-0.05911025475112014,FAST
61,0.05786180078224678,0.19695681013234523,26.0,0.9154227563673029,0.32100446821331313,EXPD
62,0.012666033254988022,0.06215138339470705,10.0,1.1101256692561703,0.21440936307790048,EXPE
63,0.0933890708737879,0.3341942690776569,1.0,0.009548689307269636,0.009548689307269636,EMR
64,0.034411806091929446,0.15702625945541437,5.0,1.5352745605414675,0.16311348506713885,EOG
65,0.027418841253988226,0.09961762567494425,2.0,1.4390661550732826,0.030287027054776882,EXC
66,-0.025213413010532156,-0.06846760157622145,23.0,1.7331886958969747,0.2771791252736164,EQR
67,0.05836562880935918,0.2187859846846294,4.0,1.0535340434471907,0.06394048629457293,EQIX
68,-0.04747822580427388,-0.1624318938385313,2.0,1.266332011559662,0.12165812396410612,EVHC
69,0.010619090149920908,0.03164007197546315,1.0,0.03703703703703721,0.03703703703703721,ETR
70,0.027686312235630145,0.07984587252745501,3.0,3.96949953585423,0.03634131884852736,ES
71,0.0015822987907483954,0.0048520494992142504,1.0,0.023266073791998604,0.023266073791998604,ESS
